,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.010446343779677113,0.01284844422099324,0.010055304172951232,0.9625668449197862,74.91699604743084,0.009921084907584731,26.371048704382087,0.9970676050330561
1,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.010446343779677113,0.012904307021954081,0.010055304172951232,0.9625668449197862,74.5926800472255,0.009920501345561399,26.36955636955642,0.9970089571337173
2,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER ROSEMARY'}),0.010502206580637953,0.012904307021954081,0.010055304172951232,0.9574468085106385,74.19591047250623,0.009919780474826693,23.196748784984166,0.9969927924876267
3,"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER ROSEMARY'}),0.011172560192168035,0.012904307021954081,0.010669794983520473,0.955,74.00629870129869,0.010525620836579475,21.935459843956554,0.9976337598579783
4,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER THYME'}),0.010558069381598794,0.01284844422099324,0.010055304172951232,0.9523809523809524,74.12422360248448,0.009919649407420383,20.730182671359167,0.9970359078590785
5,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.011563599798893917,0.01284844422099324,0.011004971789285514,0.9516908212560385,74.07051039697542,0.010856397522275537,20.434037204625394,0.9980402889734625
6,"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011563599798893917,0.012904307021954081,0.011004971789285514,0.9516908212560385,73.74985883681535,0.010855751547201581,20.432880844645506,0.9979809037908403
7,"frozenset({'HERB MARKER THYME', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.011340148595050555,0.012904307021954081,0.010781520585442154,0.9507389162561577,73.67609238052589,0.01063518382629704,20.038042567454355,0.9977416141983785
8,"frozenset({'REGENCY TEA PLATE PINK', 'REGENCY TEA PLATE ROSES'})",frozenset({'REGENCY TEA PLATE GREEN'}),0.013183621026758281,0.0187699011228423,0.01245740461426736,0.9449152542372882,50.3420475181598,0.012209949351154081,17.813100256539183,0.9932302607446256
9,"frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN', 'WOODEN HEART CHRISTMAS SCANDINAVIAN'})",frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.01296016982291492,0.026758281660242446,0.012233953410424,0.9439655172413793,35.27750881865956,0.011887161535937867,17.36862143498645,0.9844114669786441
10,"frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER PARSLEY'}),0.010669794983520473,0.01273671861907156,0.010055304172951232,0.9424083769633509,73.99145770184624,0.00991940599652295,17.14248061306888,0.9971240353849048
11,"frozenset({'HERB MARKER THYME', 'HERB MARKER MINT'})",frozenset({'HERB MARKER PARSLEY'}),0.011172560192168035,0.01273671861907156,0.010502206580637953,0.9400000000000001,73.80236842105263,0.010359904825215668,16.45438802301549,0.9975960007067758
12,"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.011507736997933076,0.01284844422099324,0.010781520585442154,0.9368932038834952,72.91880540312368,0.010633664068514351,15.642555422344268,0.997768170218747
13,"frozenset({'HERB MARKER THYME', 'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.010781520585442154,0.01273671861907156,0.010055304172951232,0.9326424870466322,73.2247068448323,0.009917982978968728,14.657062562039957,0.9970935923499736
14,"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER MINT'})",frozenset({'HERB MARKER THYME'}),0.011451874196972236,0.01284844422099324,0.010669794983520473,0.9317073170731707,72.51518557794273,0.010522656216674843,14.454719209621157,0.9976345705954196
15,frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.01284844422099324,0.012904307021954081,0.011954639405619798,0.9304347826086957,72.10265386787127,0.01178883913663765,14.189500586559424,0.9989660444775406
16,"frozenset({'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG PINK POLKADOT', 'WOODLAND CHARLOTTE BAG'})",frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.013965700240210044,0.050444109267638676,0.01296016982291492,0.928,18.39659800664452,0.012255682513998677,13.188276260171694,0.9590357291469273
17,frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER THYME'}),0.012904307021954081,0.01284844422099324,0.011954639405619798,0.9264069264069263,72.10265386787125,0.01178883913663765,13.413647610879433,0.9990225790584389
18,"frozenset({'HERB MARKER MINT', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.011284285794089716,0.012904307021954081,0.010446343779677113,0.9257425742574258,71.73903818953325,0.010300727891266704,13.292888665437692,0.9973145707800041
